positive,negative,c_target,y-axis,mean_err,x-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
780,624,5,0.79,0.6699999999999999,0.6699999999999999,0.0,0.1020408163265306,0.6004032258064519,"(780, 624)"
805,266,5,0.75,0.53,0.53,0.10016000000000001,0.29393939393939394,0.6098502304147468,"(805, 266)"
805,830,7,0.94,0.54,0.54,0.0576,0.17681159420289855,0.46123271889400924,"(805, 830)"
819,624,7,0.9,0.6499999999999999,0.6499999999999999,0.0002799999999999998,0.08974358974358974,0.46307603686635945,"(819, 624)"
819,896,13,0.68,0.54,0.54,0.10337999999999997,0.30256410256410254,0.4378456221198156,"(819, 896)"
825,154,5,0.8,0.5,0.5,0.45,0.5957446808510638,0.6160906298003075,"(825, 154)"
825,490,11,0.74,0.52,0.52,0.05599999999999998,0.2492401215805471,0.4786866359447004,"(825, 490)"
833,301,17,0.99,0.4,0.4,0.027999999999999994,0.25909090909090904,0.40478110599078343,"(833, 301)"
833,612,7,0.88,0.62,0.62,0.0029999999999999988,0.04545454545454544,0.4608870967741936,"(833, 612)"
840,680,7,0.92,0.54,0.54,0.039199999999999985,0.20416666666666666,0.4644393241167435,"(840, 680)"
840,966,5,0.63,0.66,0.66,0.08099999999999999,0.3541666666666667,0.6098502304147468,"(840, 966)"
845,299,5,0.77,0.36,0.36,0.00336,0.1953441295546559,0.6004032258064519,"(845, 299)"
845,750,13,0.65,0.38,0.38,0.012559999999999998,0.29395604395604397,0.4461405529953916,"(845, 750)"
847,287,11,0.7,0.49,0.49,0.0,0.1111111111111111,0.4631912442396312,"(847, 287)"
847,363,7,0.71,0.53,0.53,0.094,0.24305555555555558,0.4619815668202766,"(847, 363)"
850,570,17,0.84,0.59,0.59,0.13500000000000004,0.41500000000000004,0.4159562211981567,"(850, 570)"
850,833,5,0.77,0.47,0.47,0.027999999999999994,0.35857142857142854,0.6082949308755763,"(850, 833)"
858,253,13,0.92,0.55,0.55,0.0002400000000000001,0.12013888888888888,0.45103686635944695,"(858, 253)"
858,832,11,0.44,0.56,0.56,0.011760000000000001,0.21932367149758453,0.47056451612903216,"(858, 832)"
875,889,5,0.68,0.55,0.55,0.0,0.265,0.6098502304147468,"(875, 889)"
875,925,7,0.9,0.48000000000000004,0.48000000000000004,0.010080000000000002,0.20833333333333334,0.46123271889400924,"(875, 925)"
880,484,5,0.86,0.55,0.55,0.2268,0.408695652173913,0.6131336405529957,"(880, 484)"
880,510,11,0.49,0.56,0.56,0.015749999999999997,0.15869565217391304,0.4662442396313363,"(880, 510)"
884,611,17,0.98,0.36,0.36,0.0009999999999999994,0.23214285714285715,0.4116935483870967,"(884, 611)"
884,850,13,0.72,0.47,0.47,0.0,0.22,0.44953917050691233,"(884, 850)"
910,105,13,0.53,0.31,0.31,0.005879999999999999,0.3052109181141439,0.44477726574500764,"(910, 105)"
910,715,7,0.85,0.5900000000000001,0.5900000000000001,0.015479999999999997,0.17540322580645162,0.4627496159754224,"(910, 715)"
910,728,5,0.79,0.38,0.38,0.00468,0.15949820788530467,0.596082949308756,"(910, 728)"
924,704,7,0.92,0.59,0.59,0.0032399999999999985,0.12631578947368421,0.4619815668202766,"(924, 704)"
924,714,11,0.49,0.49,0.49,0.013500000000000003,0.2153846153846154,0.46324884792626714,"(924, 714)"
935,220,17,0.97,0.38,0.38,0.030000000000000002,0.24165341812400631,0.4114439324116743,"(935, 220)"
935,561,5,0.87,0.5,0.5,0.16,0.34534534534534533,0.596082949308756,"(935, 561)"
935,595,11,0.85,0.49,0.49,0.03888,0.2216216216216216,0.4806067588325652,"(935, 595)"
945,224,5,0.85,0.41,0.41,0.0006000000000000004,0.1493161094224924,0.6098502304147468,"(945, 224)"
945,585,7,0.87,0.58,0.58,0.0,0.10638297872340427,0.461520737327189,"(945, 585)"
952,84,17,0.97,0.3,0.3,0.027440000000000013,0.26064908722109537,0.40478110599078343,"(952, 84)"
952,918,7,0.9,0.47000000000000003,0.47000000000000003,0.07444,0.2077205882352941,0.4608870967741936,"(952, 918)"
975,310,13,0.38,0.49,0.49,0.0008400000000000005,0.16896551724137931,0.4461405529953916,"(975, 310)"
975,832,5,0.79,0.53,0.53,0.003360000000000001,0.16521739130434784,0.6004032258064519,"(975, 832)"
980,511,5,0.81,0.41000000000000003,0.41000000000000003,0.05039999999999999,0.32705882352941174,0.6098502304147468,"(980, 511)"
980,725,7,0.89,0.44,0.44,0.0,0.14705882352941177,0.46123271889400924,"(980, 725)"
990,473,5,0.83,0.39,0.39,0.0,0.20620748299319727,0.6131336405529957,"(990, 473)"
990,910,11,0.4,0.55,0.55,0.00882,0.15679824561403508,0.4859447004608294,"(990, 910)"
