x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
580,0.79,5,0.02,0.0,0.20202020202020202,0.6204946996466429,580
581,0.64,7,0.91,0.0016200000000000016,0.1764705882352941,0.4445229681978797,581
583,0.47,11,0.56,0.03465,0.2545454545454545,0.4296819787985864,583
588,0.8,7,0.7,0.0,0.2,0.4445229681978797,588
590,0.77,5,0.11,0.0,0.2061855670103093,0.6204946996466429,590
594,0.8,11,0.36,0.0,0.2,0.4296819787985864,594
598,0.49,13,0.8,0.03327500000000002,0.21568627450980396,0.3088339222614837,598
600,0.52,5,0.0,0.0,0.2777777777777778,0.6204946996466429,600
602,0.71,7,0.67,0.0004899999999999996,0.1772151898734177,0.4445229681978797,602
609,0.79,7,0.93,0.0,0.20202020202020202,0.4445229681978797,609
610,0.79,5,0.01,0.0,0.20202020202020202,0.6204946996466429,610
611,0.54,13,0.8,0.0,0.25,0.3088339222614837,611
612,0.8,17,0.99,0.0,0.2,0.3837455830388691,612
615,0.8,5,0.26,0.0,0.2,0.6204946996466429,615
620,0.78,5,0.0,0.0,0.2040816326530612,0.6204946996466429,620
623,0.54,7,0.42,0.013500000000000003,0.13043478260869568,0.4445229681978797,623
624,0.8,13,0.14,0.0,0.2,0.3088339222614837,624
625,0.0,5,0.02,1.0,1.0,0.6204946996466429,625
627,0.77,11,0.94,0.0,0.2061855670103093,0.4296819787985864,627
629,0.56,17,0.81,0.014579999999999996,0.19999999999999998,0.3837455830388691,629
635,0.8,5,0.02,0.0,0.2,0.6204946996466429,635
638,0.77,11,0.92,0.0,0.19999999999999998,0.4296819787985864,638
640,0.48,5,0.03,0.006000000000000009,0.29411764705882354,0.6204946996466429,640
644,0.8,7,0.61,0.0,0.2,0.4445229681978797,644
645,0.8,5,0.24,0.0,0.2,0.6204946996466429,645
646,0.79,17,0.89,0.0,0.20202020202020202,0.3837455830388691,646
649,0.53,11,0.83,0.013162500000000002,0.18867924528301885,0.4296819787985864,649
651,0.78,7,0.98,0.0,0.2040816326530612,0.4445229681978797,651
655,0.46,5,0.74,0.008415000000000004,0.27586206896551724,0.6204946996466429,655
658,0.83,7,0.42,0.0,0.1752577319587629,0.4445229681978797,658
670,0.79,5,0.07,0.0,0.20202020202020202,0.6204946996466429,670
671,0.64,11,0.2,0.0010200000000000014,0.21794871794871795,0.4296819787985864,671
672,0.8,7,0.5,0.0,0.2,0.4445229681978797,672
675,0.67,5,0.68,0.0003000000000000001,0.2298850574712644,0.6204946996466429,675
676,0.73,13,0.04,0.0,0.2150537634408602,0.3088339222614837,676
679,0.55,7,0.77,0.006431249999999996,0.23076923076923078,0.4445229681978797,679
682,0.79,11,0.77,0.0,0.1958762886597938,0.4296819787985864,682
685,0.79,5,0.1,0.0,0.20202020202020202,0.6204946996466429,685
686,0.8,7,0.15,0.0,0.2,0.4445229681978797,686
689,0.49,13,0.51,0.006750000000000003,0.276923076923077,0.3088339222614837,689
690,0.79,5,0.84,0.0,0.20202020202020202,0.6204946996466429,690
695,0.75,5,0.02,0.0,0.2043010752688172,0.6204946996466429,695
697,0.6,17,0.46,0.0014174999999999997,0.2368421052631579,0.3837455830388691,697
702,0.77,13,0.99,0.0,0.2061855670103093,0.3088339222614837,702
704,0.8,11,0.41,0.0,0.2,0.4296819787985864,704
705,0.8,5,0.38,0.0,0.2,0.6204946996466429,705
707,0.63,7,0.18,0.0,0.24096385542168672,0.4445229681978797,707
710,0.77,5,0.44,0.0,0.2061855670103093,0.6204946996466429,710
